trend; pattern; quantile; daysRet; mean; SE; t; paval
20;dark_cloud_cover;30;10;-0,0102815;0,001741;-9,06558;2,59652e-019;***
20;dark_cloud_cover;30;15;-0,0122693;0,00220458;-9,26807;4,51123e-020;***
20;dark_cloud_cover;30;20;-0,0160947;0,00247082;-10,897;1,0941e-026;***
20;dark_cloud_cover;30;40;-0,0280002;0,00362203;-13,6817;6,73711e-040;***
20;dark_cloud_cover;30;60;-0,0481812;0,012329;-6,53385;4,79896e-011;***
20;dark_cloud_cover;60;5;-0,00976445;0,00121601;-10,3385;2,03322e-024;***
20;dark_cloud_cover;60;10;-0,00881123;0,00170932;-8,37345;7,25558e-017;***
20;dark_cloud_cover;60;15;-0,0113476;0,00212141;-9,1969;7,25279e-020;***
20;dark_cloud_cover;60;20;-0,0136989;0,00235707;-10,4065;1,05472e-024;***
20;dark_cloud_cover;60;40;-0,0250643;0,0033556;-13,8931;2,8027e-041;***
20;dark_cloud_cover;60;60;-0,0426653;0,0111389;-6,73678;1,22042e-011;***
20;dark_cloud_cover;130;5;-0,00903244;0,001189;-9,95769;7,18674e-023;***
20;dark_cloud_cover;130;10;-0,00791735;0,00170236;-7,88258;3,34436e-015;***
20;dark_cloud_cover;130;15;-0,0101894;0,00206005;-8,90861;8,41975e-019;***
20;dark_cloud_cover;130;20;-0,0121008;0,00230989;-9,92719;9,55524e-023;***
20;dark_cloud_cover;130;40;-0,0254922;0,00328514;-14,3214;1,22722e-043;***
20;dark_cloud_cover;130;60;-0,0429439;0,0108622;-6,93403;3,19828e-012;***
20;dark_cloud_cover;260;5;-0,00897527;0,00115528;-10,1989;6,13992e-024;***
20;dark_cloud_cover;260;10;-0,00928068;0,0015873;-9,31287;2,22362e-020;***
20;dark_cloud_cover;260;15;-0,012321;0,00193823;-10,5683;1,67087e-025;***
20;dark_cloud_cover;260;20;-0,0136814;0,00215383;-11,3804;4,1707e-029;***
20;dark_cloud_cover;260;40;-0,0259556;0,00310886;-15,2824;2,61684e-049;***
20;dark_cloud_cover;260;60;-0,0416288;0,00985076;-7,51246;5,04469e-014;***
20;falling_three;30;5;0,0007799;0,0106695;-0,190018;0,430713; 
20;falling_three;30;10;0,0313629;0,0132193;1,95633;0,0726861;*
20;falling_three;30;15;0,0119863;0,0226928;0,168487;0,43846; 
20;falling_three;30;20;-0,00718187;0,0348123;-0,517399;0,320304; 
20;falling_three;30;40;-0,0093025;0,0595456;-0,518223;0,320049; 
20;falling_three;30;60;-0,0632346;0,069708;-1,37157;0,131889; 
20;falling_three;60;5;-0,0211494;0,0186804;-1,28245;0,144899; 
20;falling_three;60;10;0,00202679;0,0217884;-0,159482;0,441711; 
20;falling_three;60;15;-0,009856;0,0408322;-0,441289;0,344436; 
20;falling_three;60;20;-0,0214478;0,0439773;-0,733965;0,258065; 
20;falling_three;60;40;-0,00863983;0,058906;-0,5126;0,321793; 
20;falling_three;60;60;-0,0620496;0,0685568;-1,37731;0,131094; 
20;falling_three;130;5;-0,0371751;0,0166253;-2,40491;0,0689984;*
20;falling_three;130;10;4,745e-005;0,0375826;-0,145126;0,448958; 
20;falling_three;130;15;-0,0428943;0,0415599;-1,22852;0,172098; 
